Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","818","Egypt","124","Canada","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1039.68","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","124","Canada","5610","Import Quantity","0111","Wheat","2020","2020","t","8322.7","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","124","Canada","5610","Import Quantity","0111","Wheat","2021","2021","t","5845.01","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","124","Canada","5610","Import Quantity","0111","Wheat","2022","2022","t","6091.35","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","156","China, mainland","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1039.13","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","156","China, mainland","5610","Import Quantity","0111","Wheat","2021","2021","t","939.48","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","158","China, Taiwan Province of","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","68.42","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","250","France","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","1.9","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","250","France","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1018.83","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","250","France","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","1.07","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","250","France","5610","Import Quantity","0111","Wheat","2020","2020","t","588607.29","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","250","France","5610","Import Quantity","0111","Wheat","2021","2021","t","173826.58","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","250","France","5610","Import Quantity","0111","Wheat","2022","2022","t","1286928.94","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","276","Germany","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1018.83","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","276","Germany","5610","Import Quantity","0111","Wheat","2021","2021","t","939.48","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","276","Germany","5610","Import Quantity","0111","Wheat","2022","2022","t","112671.38","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","300","Greece","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","15.73","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","300","Greece","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","12.27","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","332","Haiti","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","844.35","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","348","Hungary","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","964.62","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","348","Hungary","5610","Import Quantity","0111","Wheat","2020","2020","t","19015.93","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","356","India","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","53.91","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","356","India","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","15.59","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","356","India","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","454.84","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","356","India","5610","Import Quantity","0113","Rice","2022","2022","t","0","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","356","India","5610","Import Quantity","0111","Wheat","2022","2022","t","50594.36","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","360","Indonesia","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","6572.59","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","380","Italy","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","160.48","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","380","Italy","5610","Import Quantity","0111","Wheat","2020","2020","t","0.02","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","380","Italy","5610","Import Quantity","0111","Wheat","2021","2021","t","1878.95","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","392","Japan","5610","Import Quantity","0111","Wheat","2021","2021","t","939.48","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","400","Jordan","5610","Import Quantity","0111","Wheat","2021","2021","t","0.02","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","414","Kuwait","5610","Import Quantity","0113","Rice","2021","2021","t","0","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","428","Latvia","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1039.68","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","440","Lithuania","5610","Import Quantity","0111","Wheat","2020","2020","t","23327.63","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","440","Lithuania","5610","Import Quantity","0111","Wheat","2021","2021","t","39999.08","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","440","Lithuania","5610","Import Quantity","0111","Wheat","2022","2022","t","59308.07","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","484","Mexico","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","1.97","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","484","Mexico","5610","Import Quantity","0111","Wheat","2021","2021","t","0.45","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","528","Netherlands (Kingdom of the)","5610","Import Quantity","0111","Wheat","2021","2021","t","939.48","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","586","Pakistan","5610","Import Quantity","0113","Rice","2020","2020","t","0","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","586","Pakistan","5610","Import Quantity","0113","Rice","2021","2021","t","0","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","586","Pakistan","5610","Import Quantity","0113","Rice","2022","2022","t","0","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","600","Paraguay","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","20139.3","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","616","Poland","5610","Import Quantity","0111","Wheat","2021","2021","t","1881.83","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","410","Republic of Korea","5610","Import Quantity","0113","Rice","2020","2020","t","0","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","410","Republic of Korea","5610","Import Quantity","0111","Wheat","2021","2021","t","410.87","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","498","Republic of Moldova","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","4683.78","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","498","Republic of Moldova","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","56594.49","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","642","Romania","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","467795.1","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","642","Romania","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","335636.31","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","642","Romania","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","279576.18","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","642","Romania","5610","Import Quantity","0111","Wheat","2020","2020","t","292132.55","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","642","Romania","5610","Import Quantity","0111","Wheat","2021","2021","t","944586.19","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","642","Romania","5610","Import Quantity","0111","Wheat","2022","2022","t","1318267.32","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","643","Russian Federation","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","1077.42","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","643","Russian Federation","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","13528.88","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","643","Russian Federation","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","2456.99","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","643","Russian Federation","5610","Import Quantity","0111","Wheat","2020","2020","t","5416203.49","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","643","Russian Federation","5610","Import Quantity","0111","Wheat","2021","2021","t","2766270.21","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","643","Russian Federation","5610","Import Quantity","0111","Wheat","2022","2022","t","4105215.91","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","682","Saudi Arabia","5610","Import Quantity","0113","Rice","2020","2020","t","0","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","688","Serbia","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","162771.86","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","688","Serbia","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","54024.37","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","710","South Africa","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","303.35","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","710","South Africa","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","3391.09","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","724","Spain","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","2812.85","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","724","Spain","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","3368.31","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","724","Spain","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","2510","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","752","Sweden","5610","Import Quantity","0111","Wheat","2021","2021","t","939.48","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","760","Syrian Arab Republic","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","432.36","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","764","Thailand","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","5524.93","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","764","Thailand","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","10.45","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","764","Thailand","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","3716.94","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","792","Türkiye","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","1171.83","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","792","Türkiye","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","21200.32","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","792","Türkiye","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","21250.02","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","792","Türkiye","5610","Import Quantity","0111","Wheat","2021","2021","t","1879.01","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","804","Ukraine","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","2027253.48","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","804","Ukraine","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1340186.22","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","804","Ukraine","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","868006.15","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","804","Ukraine","5610","Import Quantity","0111","Wheat","2020","2020","t","2298730.12","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","804","Ukraine","5610","Import Quantity","0111","Wheat","2021","2021","t","1679813.71","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","804","Ukraine","5610","Import Quantity","0111","Wheat","2022","2022","t","460586.55","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","784","United Arab Emirates","5610","Import Quantity","0111","Wheat","2021","2021","t","942.36","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","826","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","0.04","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","826","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","0111","Wheat","2020","2020","t","1.78","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","826","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","0111","Wheat","2021","2021","t","1881.83","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","826","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","0111","Wheat","2022","2022","t","0.03","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","840","United States of America","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","57919.65","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","840","United States of America","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","302591.59","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","840","United States of America","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","26606.4","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","840","United States of America","5610","Import Quantity","0113","Rice","2022","2022","t","0.19","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","840","United States of America","5610","Import Quantity","0111","Wheat","2020","2020","t","74671.21","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","840","United States of America","5610","Import Quantity","0111","Wheat","2021","2021","t","2821.31","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","840","United States of America","5610","Import Quantity","0111","Wheat","2022","2022","t","47109.86","A","Official figure"
