Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","682","Saudi Arabia","616","Poland","5610","Import Quantity","0111","Wheat","2020","2020","t","448613.3","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","643","Russian Federation","5610","Import Quantity","0111","Wheat","2019","2019","t","49.5","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","643","Russian Federation","5610","Import Quantity","0111","Wheat","2020","2020","t","61700","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","764","Thailand","5610","Import Quantity","0113","Rice","2018","2018","t","1300.01","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","764","Thailand","5610","Import Quantity","0113","Rice","2019","2019","t","460.2","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","764","Thailand","5610","Import Quantity","0113","Rice","2020","2020","t","226.2","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","840","United States of America","5610","Import Quantity","0113","Rice","2019","2019","t","125","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","840","United States of America","5610","Import Quantity","0113","Rice","2020","2020","t","7.3","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","840","United States of America","5610","Import Quantity","0111","Wheat","2018","2018","t","84.14","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","704","Viet Nam","5610","Import Quantity","0113","Rice","2018","2018","t","422.65","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","887","Yemen","5610","Import Quantity","0111","Wheat","2018","2018","t","304.16","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","887","Yemen","5610","Import Quantity","0111","Wheat","2019","2019","t","91.53","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","887","Yemen","5610","Import Quantity","0111","Wheat","2020","2020","t","29.55","A","Official figure"
